发明人,专利名
鲍舒婷,一种基于局部密度和聚类中心优化的密度峰聚类方法
慈尚,一种基于局部密度和聚类中心优化的密度峰聚类方法
郑孝遥,一种基于局部密度和聚类中心优化的密度峰聚类方法
罗永龙,一种基于局部密度和聚类中心优化的密度峰聚类方法
慈尚,一种基于同态加密的隐私保护密度峰聚类方法
孙丽萍,一种基于同态加密的隐私保护密度峰聚类方法
鲍舒婷,一种基于同态加密的隐私保护密度峰聚类方法
俞庆英,一种基于同态加密的隐私保护密度峰聚类方法
罗永龙,一种基于同态加密的隐私保护密度峰聚类方法
章海燕,基于轨迹大数据的轨迹异常检测方法
罗永龙,基于轨迹大数据的轨迹异常检测方法
俞庆英,基于轨迹大数据的轨迹异常检测方法
孙振强,基于轨迹大数据的轨迹异常检测方法
李雪静,基于轨迹大数据的轨迹异常检测方法
陈付龙,基于接头暗号匿名的物联网身份认证方法
张紫阳,基于接头暗号匿名的物联网身份认证方法
罗永龙,基于接头暗号匿名的物联网身份认证方法
张程,基于接头暗号匿名的物联网身份认证方法
刘超,基于接头暗号匿名的物联网身份认证方法
孙丽萍,基于接头暗号匿名的物联网身份认证方法
郑孝遥,基于接头暗号匿名的物联网身份认证方法
俞庆英,基于接头暗号匿名的物联网身份认证方法
王涛春,基于接头暗号匿名的物联网身份认证方法
王涛春,传感器网络中面向隐私保护的连续数据聚集方法
胡桂银,传感器网络中面向隐私保护的连续数据聚集方法
接标,传感器网络中面向隐私保护的连续数据聚集方法
左开中,传感器网络中面向隐私保护的连续数据聚集方法
陈付龙,传感器网络中面向隐私保护的连续数据聚集方法
刘盈,传感器网络中面向隐私保护的连续数据聚集方法
罗永龙,传感器网络中面向隐私保护的连续数据聚集方法
盛佳佳,一种基于半监督学习图像聚类的数据处理方法和系统
孙丽萍,一种基于半监督学习图像聚类的数据处理方法和系统
杜亭莉,一种基于半监督学习图像聚类的数据处理方法和系统
郑孝遥,一种基于半监督学习图像聚类的数据处理方法和系统
陈付龙,一种基于半监督学习图像聚类的数据处理方法和系统
罗永龙,一种基于半监督学习图像聚类的数据处理方法和系统
王涛春,一种群智感知中基于椭圆曲线的聚合数据隐私保护方法
金鑫,一种群智感知中基于椭圆曲线的聚合数据隐私保护方法
吕成梅,一种群智感知中基于椭圆曲线的聚合数据隐私保护方法
陈付龙,一种群智感知中基于椭圆曲线的聚合数据隐私保护方法
赵传信,一种群智感知中基于椭圆曲线的聚合数据隐私保护方法
罗永龙,一种群智感知中基于椭圆曲线的聚合数据隐私保护方法
王涛春,一种群智感知中基于切片的轨迹隐私保护方法
刘盈,一种群智感知中基于切片的轨迹隐私保护方法
金鑫,一种群智感知中基于切片的轨迹隐私保护方法
赵传信,一种群智感知中基于切片的轨迹隐私保护方法
吕成梅,一种群智感知中基于切片的轨迹隐私保护方法
陈付龙,一种群智感知中基于切片的轨迹隐私保护方法
罗永龙,一种群智感知中基于切片的轨迹隐私保护方法
汪小寒,基于改进四叉树的差分隐私保护方法
张泽培,基于改进四叉树的差分隐私保护方法
韩慧慧,基于改进四叉树的差分隐私保护方法
左开中,基于改进四叉树的差分隐私保护方法
俞庆英,基于改进四叉树的差分隐私保护方法
接标,基于改进四叉树的差分隐私保护方法
罗永龙,基于改进四叉树的差分隐私保护方法
王涛春,传感器网络中安全可验证的连续数据收集方法
刘盈,传感器网络中安全可验证的连续数据收集方法
左开中,传感器网络中安全可验证的连续数据收集方法
胡桂银,传感器网络中安全可验证的连续数据收集方法
接标,传感器网络中安全可验证的连续数据收集方法
陈付龙,传感器网络中安全可验证的连续数据收集方法
罗永龙,传感器网络中安全可验证的连续数据收集方法
罗永龙,基于Flickr地理标签元的旅游历史数据获取方法
陈文,基于Flickr地理标签元的旅游历史数据获取方法
汪逸飞,基于Flickr地理标签元的旅游历史数据获取方法
刘晴晴,基于Flickr地理标签元的旅游历史数据获取方法
俞庆英,基于Flickr地理标签元的旅游历史数据获取方法
陈付龙,社区医疗物联网隐私保护方法
叶和平,社区医疗物联网隐私保护方法
杨洁,社区医疗物联网隐私保护方法
朱君茹,社区医疗物联网隐私保护方法
齐学梅,社区医疗物联网隐私保护方法
罗永龙,社区医疗物联网隐私保护方法
赵传信,社区医疗物联网隐私保护方法
郑孝遥,社区医疗物联网隐私保护方法
孙丽萍,社区医疗物联网隐私保护方法
王涛春,基于安全求和的移动群智感知隐私保护真值发现方法
吕成梅,基于安全求和的移动群智感知隐私保护真值发现方法
王成田,基于安全求和的移动群智感知隐私保护真值发现方法
陈付龙,基于安全求和的移动群智感知隐私保护真值发现方法
赵传信,基于安全求和的移动群智感知隐私保护真值发现方法
罗永龙,基于安全求和的移动群智感知隐私保护真值发现方法
汪小寒,一种基于改进KD树数据结构的隐私保护方法
罗永龙,一种基于改进KD树数据结构的隐私保护方法
张泽培,一种基于改进KD树数据结构的隐私保护方法
韩慧慧,一种基于改进KD树数据结构的隐私保护方法
夏芸,一种基于改进KD树数据结构的隐私保护方法
左开中,一种基于改进KD树数据结构的隐私保护方法
孙丽萍,一种基于数据安全的混合聚类方法
陶涛,一种基于数据安全的混合聚类方法
郭良敏,一种基于数据安全的混合聚类方法
陈付龙,一种基于数据安全的混合聚类方法
罗永龙,一种基于数据安全的混合聚类方法
陈付龙,一种基于串行通信接口的FPGA在线验证结构和方法
孙云翔,一种基于串行通信接口的FPGA在线验证结构和方法
杨洁,一种基于串行通信接口的FPGA在线验证结构和方法
叶和平,一种基于串行通信接口的FPGA在线验证结构和方法
罗永龙,一种基于串行通信接口的FPGA在线验证结构和方法
齐学梅,一种基于串行通信接口的FPGA在线验证结构和方法
王宏涛,一种基于串行通信接口的FPGA在线验证结构和方法
朱君茹,一种基于串行通信接口的FPGA在线验证结构和方法
汪小寒,一种出租车热点区域的提取方法
罗永龙,一种出租车热点区域的提取方法
张泽培,一种出租车热点区域的提取方法
何增宇,一种出租车热点区域的提取方法
胡王悟,一种出租车热点区域的提取方法
郑孝遥,一种基于差分隐私保护的谱聚类方法
汪祥舜,一种基于差分隐私保护的谱聚类方法
罗永龙,一种基于差分隐私保护的谱聚类方法
郭良敏,一种基于差分隐私保护的谱聚类方法
胡桂银,一种基于差分隐私保护的谱聚类方法
郑孝遥,一种基于数据流的敏感数据挖掘保护方法
胡朝焱,一种基于数据流的敏感数据挖掘保护方法
罗永龙,一种基于数据流的敏感数据挖掘保护方法
陈文,一种基于数据流的敏感数据挖掘保护方法
孙丽萍,一种基于数据流的敏感数据挖掘保护方法
陈付龙,一种基于数据流的敏感数据挖掘保护方法
接标,一种基于权值分布的阈值化方法
王正东,一种基于权值分布的阈值化方法
卞维新,一种基于权值分布的阈值化方法
丁新涛,一种基于权值分布的阈值化方法
周文,一种基于权值分布的阈值化方法
左开中,一种基于权值分布的阈值化方法
陈付龙,一种基于权值分布的阈值化方法
罗永龙,一种基于权值分布的阈值化方法
接标,一种基于Laplacian算子的特征选择方法
左开中,一种基于Laplacian算子的特征选择方法
王涛春,一种基于Laplacian算子的特征选择方法
丁新涛,一种基于Laplacian算子的特征选择方法
胡桂银,一种基于Laplacian算子的特征选择方法
罗永龙,一种基于Laplacian算子的特征选择方法
